[ 2012-12-07T14:24:01+08:00 ] /index.php/admin/Menu/menu/action/User | INFO: Run ParseTemplate Behavior [ RunTime:0.012035s ]
[ 2012-12-07T14:24:01+08:00 ] /index.php/admin/Menu/menu/action/User | INFO: Tag[ view_parse ] --END-- [ RunTime:0.012135s ]
[ 2012-12-07T14:24:01+08:00 ] /index.php/admin/Menu/menu/action/User | INFO: Tag[ view_filter ] --START--
[ 2012-12-07T14:24:01+08:00 ] /index.php/admin/Menu/menu/action/User | INFO: Run ContentReplace Behavior [ RunTime:0.000370s ]
[ 2012-12-07T14:24:01+08:00 ] /index.php/admin/Menu/menu/action/User | INFO: Run TokenBuild Behavior [ RunTime:0.000499s ]
[ 2012-12-07T14:24:01+08:00 ] /index.php/admin/Menu/menu/action/User | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000271s ]
[ 2012-12-07T14:24:01+08:00 ] /index.php/admin/Menu/menu/action/User | INFO: Run ShowRuntime Behavior [ RunTime:0.000464s ]
[ 2012-12-07T14:24:01+08:00 ] /index.php/admin/Menu/menu/action/User | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001798s ]
[ 2012-12-07T14:24:01+08:00 ] /index.php/admin/Menu/menu/action/User | INFO: Tag[ view_end ] --START--
[ 2012-12-07T14:24:01+08:00 ] /index.php/admin/Menu/menu/action/User | INFO: Run ShowPageTrace Behavior [ RunTime:0.000458s ]
[ 2012-12-07T14:24:01+08:00 ] /index.php/admin/Menu/menu/action/User | INFO: Tag[ view_end ] --END-- [ RunTime:0.000524s ]
[ 2012-12-07T14:24:01+08:00 ] /index.php/admin/User/ | INFO: Tag[ route_check ] --START--
